id,name,pComicId,totalPage,totalView,thumbnail,createdAt
kishizuka_kenji_1,One Shot,kishizuka_kenji_1,250,1,https://m6.hentairox.com/020/sbwfpnzevo/cover.jpg,2020-01-01
kishizuka_kenji_2,One Shot,kishizuka_kenji_2,124,1,https://m4.hentairox.com/015/47ncpdqgma/cover.jpg,2020-01-01
kishizuka_kenji_3,One Shot,kishizuka_kenji_3,96,1,https://m5.hentairox.com/017/qs5doc6wxp/thumb.jpg,2020-01-01
kishizuka_kenji_4,One Shot,kishizuka_kenji_4,245,1,https://m6.hentairox.com/020/6f4xbpo1ha/thumb.jpg,2020-01-01
