id,name,pComicId,totalPage,totalView,thumbnail,createdAt
mizuryu_kei_1,One Shot,mizuryu_kei_1,247,1,https://i2.hentaifox.com/004/2679664/cover.jpg,2020-01-01
mizuryu_kei_2,One Shot,mizuryu_kei_2,277,1,https://i.hentaifox.com/004/2659236/cover.jpg,2020-01-01
mizuryu_kei_3,One Shot,mizuryu_kei_3,278,1,https://i2.hentaifox.com/004/2408949/cover.jpg,2020-01-01
