id,name,pComicId,totalPage,totalView,thumbnail,createdAt
ate_1,One Shot,date_1,216,1,https://m5.hentairox.com/017/fzmgh3kaen/cover.jpg,2020-01-01
date_2,One Shot,date_2,199,1,https://m5.hentairox.com/016/w7vup9qsfb/cover.jpg,2020-01-01
