id,name,postId,artistId,totalChap,totalView,hashTags,originalPath,thumbnail,description,categoryIds,createdAt
arai_kei_1,Boku no Senpai Kanojo wa OtaCir no Hime ni Naru,arai_kei,arai_kei,1,1,hentaifox,,https://i2.hentaifox.com/004/2770077/cover.jpg,,"site,hentaifox",2020/01/01
arai_kei_2,Knock-Up Game,arai_kei,arai_kei,1,1,hentaifox,,https://i.hentaifox.com/004/2252118/cover.jpg,,"site,hentaifox",2020/01/02
