id,name,pComicId,totalPage,totalView,thumbnail,createdAt
arai_kei_1,One Shot,arai_kei_1,97,1,https://i2.hentaifox.com/004/2770077/cover.jpg,2020-01-01
arai_kei_2,One Shot,arai_kei_2,73,1,https://i.hentaifox.com/004/2252118/cover.jpg,2020-01-02
