id,name,postId,totalDue,totalView,embedTypeId,hashTags,script,thumbnail,description,actorId,directorId,categoryIds,createdAt
korean_1,"Girl Cute Korea ",korean,10,1,iframe,"cow_girl,missionary",https://drive.google.com/file/d/1O9mgKZwYH5EOqITgptlLmrR2D1mZmEbE/preview,https://lh3.google.com/u/0/d/16RNFXzhgDYh9VYxx_BfB8HtF5UZX9YAm=w1165-h945-iv2,Romatic coupe,,,"region,korean,store,ggdrive",2020-01-01
korean_2,korean,korean,13,1,iframe,"cum_inside,cow_girl,missionary",https://drive.google.com/file/d/1RTytuuG7IOdzNzbirKuDpLiGJnfUCXNH/preview,https://lh3.google.com/u/0/d/1JZDsRNHI7I_xLFSJWyuhAvnKxR9Yys3f=w1165-h945-iv1,Amater and sex,,,"region,korean,store,ggdrive",2020-01-01
korean_3,Ultimate amateur Korean Riding Compilation 2,korean,9,1,iframe,"cow_girl,collection",https://drive.google.com/file/d/13zLU3LslmLtCu1tNGxYiO4EWRnq-5OMc/preview,https://lh3.google.com/u/0/d/1wcT0FuTdw_I3HgYIa8KGNoMNLIOxOI8S=w1165-h945-iv1,Collection riding,,,"region,korean,store,ggdrive",2020-01-01
korean_4,"THE GREATEST S TAPE EVER (ROMANTIC ASIAN DEEPTHROAT, ANAL, AND A2M)",korean,32,1,iframe,"cow_girl,anal,romatic",https://drive.google.com/file/d/1Azql52KubPiCRldKYE1xVeKB5KA-A_MU/preview,https://lh3.google.com/u/0/d/191HSpj_BrhuXQ449qvHEaNpgPWlkzpVF=w1165-h945-iv1,"ROMANTIC ASIAN DEEPTHROAT, ANAL, AND A2M",,,"region,korean,store,ggdrive",2020-01-01
korean_5,Valentine's Day Korean Couple Hotel S Selfie,korean,14,1,iframe,"cow_girl,amater,romatic",https://player.vimeo.com/video/847645009,https://lh3.google.com/u/0/d/1wpS1r4MuIUhmXD3FES6bW2H6SkCuxynL=w1165-h945-iv1,Couple Hotel romatic,,,"region,korean,store,ggdrive",2020-01-01
korean_6,Japanese woman cow_girl - VJAV.com,korean,4,1,iframe,"cow_girl,group_sex",https://drive.google.com/file/d/1ZA3oPtFK3eqXa2glWYUIx_lKr9fi5k6e/preview,https://img-egc.xvideos-cdn.com/videos/thumbs169ll/8c/94/f2/8c94f2bb1400453c0b4f1a99b2b166a8/8c94f2bb1400453c0b4f1a99b2b166a8.7.jpg,cow_girl Dress Cream Pie,,,"region,korean,store,ggdrive",2020-01-01
korean_7,Korean Couple Tumblr 3 Person S Affair,korean,26,1,iframe,standing,https://drive.google.com/file/d/1y7BhyEhChRlE591VIQReiP0ukZ1gGEsw/preview,https://ff.pornohd.pro/ph/img/12/129897041_th.jpg,group_sex and many state,,,"region,korean,store,ggdrive",2020-01-01
