id,name,pComicId,totalPage,totalView,thumbnail,createdAt
izayoi_seishin_1,One Shot,izayoi_seishin_1,221,1,https://m5.hentairox.com/017/yjfp5n6icm/cover.jpg,2020-01-01
izayoi_seishin_2,One Shot,izayoi_seishin_2,213,1,https://m5.hentairox.com/017/yjfp5n6icm/cover.jpg,2020-01-01
izayoi_seishin_3,One Shot,izayoi_seishin_3,219,1,https://m4.hentairox.com/014/3pz6y9nw5g/1.jpg,2020-01-01
