id,name,pComicId,totalPage,totalView,thumbnail,createdAt
takeda_hiromitsu_1,One Shot,takeda_hiromitsu_1,257,1,https://m6.hentairox.com/021/hs76dr4ptf/cover.jpg,2020-01-01
takeda_hiromitsu_2,One Shot,takeda_hiromitsu_2,216,1,https://i2.hentaifox.com/004/2368064/thumb.jpg,2020-01-01
takeda_hiromitsu_3,One Shot,takeda_hiromitsu_3,238,1,https://i.hentaifox.com/002/1501788/cover.jpg,2020-01-01
