id,name,pComicId,totalPage,totalView,thumbnail,createdAt
shinozuka_yuuji_1,One Shot,shinozuka_yuuji_1,213,1,https://m5.hentairox.com/017/1074swzle9/cover.jpg,2020-01-01
shinozuka_yuuji_2,One Shot,shinozuka_yuuji_2,237,1,https://m4.hentairox.com/014/wtqf214l3r/cover.jpg,2020-01-01
shinozuka_yuuji_3,One Shot,shinozuka_yuuji_3,33,1,https://m3.hentairox.com/012/yz213j7q5r/cover.jpg,2020-01-01
